timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, linearAccel, angularAccel
none,0.09849,0.13079,0.18842,0.42393,0.05608,0.83041,0.42982,-0.96648,1.3847
none,0.09684,0.1298,0.18887,0.43753,0.05781,0.86066,0.45287,-0.84594,1.4556
none,0.09881,0.13281,0.19014,0.4551,0.05631,0.89351,0.4763,-0.71471,1.4850
none,0.1004,0.13195,0.19101,0.47418,0.05483,0.92918,0.4971,-0.59456,1.5078
none,0.09881,0.13115,0.19208,0.4967,0.053,0.96716,0.51534,-0.48535,1.510
none,0.10085,0.13084,0.19399,0.52503,0.05482,1,0.5301,0.34006,1.5655
none,0.09931,0.13014,0.1955,0.55694,0.05618,1,0.54579,0.3809,1.5834
none,0.10101,0.13314,0.19724,0.59545,0.05434,1,0.5596,0.40975,1.5990
none,0.09993,0.13304,0.1999,0.6447,0.05251,1,0.57174,0.52424,1.6298
none,0.09888,0.13301,0.20287,0.70593,0.05068,1,0.58362,0.55817,1.6683
none,0.10069,0.13258,0.20544,0.76522,0.0529,1,0.59582,0.58702,1.7277
none,0.10294,0.13269,0.20912,0.8,0.05376,1,0.60975,0.61949,1.7811
none,0.10201,0.13288,0.21324,0.81876,0.05198,1,0.62464,0.64548,1.8097
none,0.10111,0.13317,0.21786,0.83769,0.0502,1,0.63856,0.67523,1.8362
none,0.10351,0.13356,0.22303,0.85364,0.04843,1,0.65156,0.71232,1.8748
none,0.10271,0.13405,0.22884,0.86625,0.04768,1,0.66467,0.75123,1.9005
none,0.10236,0.13515,0.23627,0.87957,0.04745,1,0.67695,0.80403,1.9270
none,0.10496,0.13587,0.24367,0.88643,0.04818,1,0.68864,0.85936,1.9671
none,0.10472,0.13724,0.25303,0.89407,0.04791,1,0.70081,0.92508,1.9915
none,0.10413,0.13824,0.26262,0.55086,0.04853,1,0.71225,1.09178,1.9931
none,0.10737,0.13991,0.27461,0.35156,0.0472,1,0.72152,1.53178,2.084
none,0.10733,0.14179,0.28843,0.26234,0.04502,1,0.73532,1.77598,2.0142
none,0.10735,0.14384,0.30429,0.21218,0.04328,1,0.74146,1.92317,1.947
none,0.10743,0.14607,0.32247,0.18028,0.0415,1,0.7417,2.05812,1.8730
none,0.10755,0.14845,0.34333,0.15841,0.04156,1,0.73665,2.2057,1.7802
none,0.10816,0.15159,0.36876,0.14022,0.04094,1,0.7261,2.36514,1.6640
none,0.10835,0.15424,0.39631,0.12875,0.04109,1,0.7095,2.42597,1.5444
none,0.10902,0.15762,0.42967,0.11808,0.04061,1,0.68783,2.20097,1.456
none,0.1097,0.1611,0.46817,0.10969,0.04022,1,0.66435,1.86082,1.3988
none,0.1104,0.16468,0.51305,0.10294,0.0399,1,0.64149,1.43164,1.340
none,0.11065,0.16765,0.56361,0.09895,0.04025,1,0.61914,1.01646,1.3101
none,0.11184,0.17214,0.62944,0.09284,0.03942,1,0.5991,0.62983,1.3101
none,0.11259,0.17606,0.70744,0.08895,0.03925,1,0.58307,0.16306,1.3019
none,0.11335,0.18013,0.73953,0.0856,0.03912,1,0.56967,0.1784,1.2455
none,0.11414,0.18436,0.7615,0.08271,0.03902,1,0.55499,0.23514,1.1929
none,0.11542,0.18953,0.77721,0.07905,0.03838,1,0.53956,0.26692,1.143
none,0.11672,0.19488,0.79311,0.07581,0.0378,1,0.52375,0.29438,1.0935
none,0.11755,0.19957,0.79957,0.074,0.0378,1,0.50759,0.31311,1.0517
none,0.11888,0.20526,0.81263,0.07139,0.03729,1,0.49172,0.35794,1.0018
none,0.12021,0.21113,0.81626,0.06904,0.03682,1,0.47553,0.38023,0.9586
none,0.12156,0.21717,0.82325,0.06693,0.03638,1,0.45955,0.41262,0.9129
none,0.12291,0.22338,0.8272,0.06503,0.03597,1,0.44355,0.43364,0.8697
none,0.12427,0.22975,0.83449,0.0633,0.03559,1,0.42772,0.46507,0.8239
none,0.12562,0.23628,0.83551,0.06173,0.03524,1,0.41184,0.47439,0.7833
none,0.12697,0.24296,0.83664,0.0603,0.03491,1,0.39629,0.48296,0.7432
none,0.12885,0.25085,0.5388,0.05814,0.03411,1,0.38103,2.11136,0.816
none,0.13022,0.25799,0.44095,0.05694,0.03382,1,0.374,3.08911,0.950
none,0.13164,0.26566,0.37265,0.05578,0.03354,1,0.37773,3.76858,1.0629
none,0.13373,0.27525,0.31674,0.05384,0.03278,1,0.38862,3.78792,1.165
none,0.13537,0.28469,0.27715,0.05273,0.0325,1,0.40456,3.41136,1.2273
none,0.13773,0.29653,0.24158,0.05085,0.03174,1,0.42163,2.95852,1.2729
none,0.0641,0.07689,0.10418,0.17234,0.26232,0.49682,0.03941,-2.52972,0.4579
none,0.06328,0.0761,0.10327,0.17177,0.26195,0.40833,0.0637,-2.70381,0.5070
none,0.06286,0.07574,0.10297,0.17073,0.26118,0.31832,0.08657,-2.86223,0.4991
none,0.06243,0.0754,0.10273,0.17009,0.26403,0.22743,0.10432,-3.0431,0.4680
none,0.062,0.07507,0.10252,0.16985,0.26408,0.13491,0.11634,-3.17547,0.429
none,0.06198,0.07516,0.10288,0.16961,0.26414,0.04251,0.12325,-3.29391,0.3755
none,0.06195,0.07526,0.10325,0.17108,0.26421,-0.04931,0.12499,-3.39479,0.3024
none,0.06233,0.07577,0.10417,0.17383,0.26428,-0.13997,0.12125,-3.48404,0.2176
none,0.06271,0.07629,0.10507,0.17651,0.26474,-0.22914,0.1123,-3.54624,0.1161
none,0.06309,0.07679,0.10593,0.17904,0.26882,-0.31597,0.09802,-3.59844,-0.0021
none,0.06388,0.0777,0.1073,0.18052,0.26927,-0.40023,0.0783,-3.6533,-0.1321
none,0.06468,0.0786,0.1086,0.18127,0.27011,-0.48216,0.0534,-3.70099,-0.2755
none,0.06548,0.07947,0.1098,0.1825,0.27133,-0.56161,0.02341,-3.74547,-0.4202
none,0.06668,0.08073,0.11145,0.18337,0.27212,-0.6386,-0.01074,-3.78468,-0.5672
none,0.0679,0.08196,0.11298,0.18502,0.2765,-0.71308,-0.04836,-3.90347,-0.7081
none,0.06912,0.08316,0.11436,0.18713,0.27805,-0.78788,-0.08836,-4.03839,-0.8457
