timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, linearAccel, angularAccel
none,0.06091,0.077,0.10597,0.16919,0.26897,1,0.05922,0.66125,0.0004
none,0.06161,0.07485,0.1072,0.16701,0.26603,1,0.05922,0.66125,0.0004
none,0.06232,0.07559,0.10481,0.16059,0.26234,1,0.05922,0.66125,0.0004
none,0.05994,0.07309,0.10241,0.15793,0.25863,1,0.05922,0.66125,0.0004
none,0.05843,0.07053,0.10002,0.15527,0.2549,1,0.05922,0.66125,0.0004
none,0.05757,0.06891,0.09762,0.1526,0.25115,1,0.05922,0.66125,0.0004
none,0.0551,0.06877,0.09522,0.14993,0.24738,1,0.05922,0.66125,0.0004
none,0.0558,0.06622,0.09282,0.14725,0.24359,1,0.05922,0.66125,0.0004
none,0.05621,0.06367,0.09042,0.14456,0.23978,1,0.05922,0.66125,0.0004
none,0.05288,0.06371,0.08802,0.14187,0.23595,1,0.05922,0.66125,0.0004
none,0.05254,0.06192,0.08562,0.13917,0.2321,1,0.05922,0.66125,0.0004
none,0.05056,0.05938,0.08322,0.13647,0.22822,1,0.05922,0.66125,0.0004
none,0.04916,0.05794,0.08081,0.13376,0.22433,1,0.05922,0.66125,0.0004
none,0.04826,0.05765,0.07841,0.13105,0.22041,1,0.05922,0.66125,0.0004
none,0.04574,0.05511,0.07601,0.1245,0.21647,1,0.05922,0.66125,0.0004
none,0.04644,0.05258,0.07683,0.12177,0.21251,1,0.05922,0.66125,0.0004
none,0.04653,0.05227,0.07119,0.11903,0.20853,1,0.05922,0.66125,0.0004
none,0.04369,0.05086,0.06878,0.11629,0.20452,1,0.05922,0.66125,0.0004
none,0.04308,0.04833,0.06961,0.11354,0.2005,1,0.05922,0.66125,0.0004
none,0.04196,0.04622,0.06761,0.11127,0.19722,1,0.05922,0.66125,0.0004
none,0.0396,0.04703,0.0652,0.10851,0.19315,1,0.05922,0.66125,0.0004
none,0.03971,0.04451,0.06278,0.10574,0.18905,1,0.05922,0.66125,0.0004
none,0.03648,0.04199,0.06037,0.0991,0.18493,1,0.05922,0.66125,0.0004
none,0.03678,0.04129,0.05796,0.09631,0.18079,1,0.05922,0.66125,0.0004
none,0.03426,0.04029,0.05554,0.09352,0.17662,1,0.05922,0.66125,0.0004
none,0.03324,0.03778,0.05312,0.09073,0.17243,1,0.05922,0.66125,0.0004
none,0.03206,0.03527,0.05071,0.08404,0.16821,1,0.05922,0.66125,0.0004
none,0.02967,0.03608,0.04829,0.08122,0.16397,1,0.05922,0.66125,0.0004
none,0.02986,0.03358,0.04587,0.0784,0.1597,1,0.05922,0.66125,0.0004
none,0.02668,0.03108,0.04344,0.07557,0.15541,1,0.05922,0.66125,0.0004
none,0.02674,0.02932,0.04102,0.07274,0.15109,1,0.05922,0.66125,0.0004
none,0.02504,0.02981,0.039,0.07038,0.14755,1,0.05922,0.66125,0.0004
none,0.02311,0.02731,0.03658,0.06753,0.14318,1,0.05922,0.66125,0.0004
none,0.02288,0.02481,0.03415,0.06076,0.13878,1,0.05922,0.66125,0.0004
none,0.01973,0.02378,0.03172,0.05789,0.13436,1,0.05922,0.66125,0.0004
none,0.02012,0.02314,0.02929,0.05502,0.12991,1,0.05922,0.66125,0.0004
none,0.0176,0.02065,0.02686,0.05214,0.12543,1,0.05922,0.66125,0.0004
none,0.01705,0.01816,0.02442,0.04531,0.12092,1,0.05922,0.66125,0.0004
none,0.01549,0.01568,0.02199,0.04241,0.11639,1,0.05922,0.66125,0.0004
