timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, axialPower, turnPower
00:00:03,271.715,455.617,550.246,614.894,195.33,2.941,0.004,0.394,0.001,
00:00:03,263.758,436.477,533.267,600.231,180.28,3.288,0.004,0.435,0.001,
00:00:03,299.309,413.698,512.47,581.441,167.083,3.72,0.004,0.502,0.001,
00:00:03,345.685,434.27,486.711,557.207,153.473,4.253,0.003,0.546,0,
00:00:03,366.224,407.121,508.721,530.723,242.32,4.597,0.001,0.559,0,
00:00:03,337.431,379.084,480.653,501.759,230.435,4.784,0,0.549,0,
00:00:03,307.727,350.061,451.472,471.499,221.198,4.832,0.001,0.536,0,
00:00:03,273.637,317.015,418.666,437.96,474.223,4.811,0.002,0.53,0.001,
00:00:04,277.637,337.003,391.249,410.374,445.704,4.782,0.003,0.527,0.001,
00:00:04,263.937,309.098,364.241,383.551,418.449,4.774,0.004,0.533,0.001,
00:00:04,229.638,276.418,332.728,352.379,386.994,4.785,0.005,0.528,0.001,
00:00:04,241.496,245.028,302.657,322.845,357.56,4.656,0.006,0.472,0.002,
00:00:04,214.101,264.733,275.862,297.4,333.581,4.353,0.008,0.437,0.002,
00:00:04,186.114,239.235,252.391,275.952,379.517,4.079,0.01,0.417,0.003,
00:00:04,214.094,221.357,236.572,262.6,374.336,3.918,0.012,0.414,0.003,
00:00:04,195.11,204.641,222.251,251.54,375.283,3.858,0.014,0.435,0.004,
00:00:04,175.845,188.092,208.999,312.605,388.453,3.989,0.015,0.48,0.004,
00:00:05,158.429,173.143,197.485,315.998,413.947,4.258,0.014,0.519,0.004,
00:00:05,143.337,159.744,256.852,320.972,445.809,4.49,0.014,0.531,0.003,
00:00:05,127.607,145.749,254.428,334.3,509.846,4.576,0.013,0.511,0.003,
00:00:05,111.942,202.168,253.863,355.594,625.073,4.628,0.012,0.535,0.003,
00:00:05,163.172,197.138,258.898,394.458,629.923,4.836,0.012,0.582,0.003,
00:00:05,154.185,192.4,266.567,456.347,737.322,5.135,0.011,0.618,0.002,
00:00:05,144.965,187.451,277.071,563.712,750.042,5.402,0.01,0.632,0.002,
00:00:05,140.671,188.266,298.233,529.054,719.616,5.538,0.009,0.634,0.002,
00:00:05,135.8,190.618,336.813,569.163,782.665,5.63,0.009,0.636,0.002,
00:00:06,136.604,203.847,427.021,593.111,799.989,5.693,0.009,0.644,0.002,
00:00:06,142.409,230.255,411.802,603.977,820.635,5.78,0.009,0.659,0.002,
00:00:06,153.809,271.389,375.374,571.819,845.901,5.876,0.008,0.672,0.002,
00:00:06,171.834,337.857,477.005,631.118,866.691,6,0.006,0.69,0.001,
00:00:06,192.829,299.785,441.32,598.48,839.112,6,0.005,0.705,0.001,
00:00:06,219.005,256.487,399.892,608.638,855.956,6,0.004,0.706,0.001,
00:00:06,220.238,213.728,406.719,569.091,819.411,6,0.004,0.679,0.001,
00:00:06,181.919,321.551,371.497,535.44,788.774,5.988,0.004,0.651,0.001,
00:00:06,139.779,281.089,332.703,498.939,811.75,5.773,0.005,0.587,0.001,
00:00:07,206.855,242.025,295.249,515.674,840.729,5.446,0.006,0.563,0.001,
00:00:07,207.503,254.372,359.352,484.877,876.191,5.241,0.005,0.561,0.001,
00:00:07,171.6,219.907,326.43,507.308,914.236,5.093,0.005,0.526,0.001,
00:00:07,186.176,187.61,346.037,480.317,900.121,4.687,0.006,0.431,0.002,
00:00:07,161,163.413,324.285,517.728,960.11,4.213,0.007,0.392,0.002,
00:00:07,135.153,236.819,354.528,559.879,967.885,3.838,0.007,0.392,0.002,
00:00:07,210.833,217.506,337.898,667.327,977.447,3.765,0.007,0.435,0.002,
00:00:07,187.648,245.489,372.369,779.999,987.653,3.966,0.006,0.482,0.001,
00:00:08,163.382,222.125,351.459,771.791,992.986,4.224,0.005,0.509,0.001,
00:00:08,187.029,248.991,385.231,826.45,997.015,4.457,0.005,0.527,0.001,
